file,class,sampling_rate,num_samples,delta,K,variance,H_Q,h_hat,H_max,h_Gauss,gap_h_Gauss_minus_h_hat
2026-05-11 17-18-20.wav,music,48000,432000,0.1,20,0.009352001706662854,2.034013930655009,-1.2879141642323533,4.321928094887363,-1.323158960575658,-0.035244796343304685
2026-05-11 17-18-59.wav,music,48000,432000,0.1,20,0.005254108407325412,1.697059948078793,-1.6248681468085693,4.321928094887363,-1.7390735732928868,-0.11420542648431753
2026-05-11 17-19-28.wav,music,48000,432000,0.1,20,0.007002275170289974,1.8782291472029387,-1.4436989476844235,4.321928094887363,-1.5318846787227498,-0.08818573103832628
2026-05-11 17-20-13.wav,music,48000,432000,0.1,20,0.014316199631826357,2.329578212984349,-0.9923498819030132,4.321928094887363,-1.0160082263937549,-0.023658344490741667
2026-05-11 17-20-39.wav,music,48000,432000,0.1,20,0.007755028318808123,1.9278517181182282,-1.394076376769134,4.321928094887363,-1.4582305323914506,-0.06415415562231663
2026-05-11 17-21-31.wav,music,48000,432000,0.1,20,0.019584305208726182,2.4605008312912595,-0.8614272635961027,4.321928094887363,-0.7899835363131071,0.07144372728299553
2026-05-11 17-24-03.wav,music,48000,432000,0.1,20,0.0029922572083606862,1.4150253706725888,-1.9069027242147734,4.321928094887363,-2.14517946130273,-0.2382767370879566
2026-05-11 17-26-42.wav,music,48000,432000,0.1,20,0.009103564142738302,2.0067093079358496,-1.3152187869515126,4.321928094887363,-1.3425808139258428,-0.02736202697433021
2026-05-11 17-29-53.wav,music,48000,432000,0.1,20,0.029274026141547536,2.793577676048166,-0.5283504188391963,4.321928094887363,-0.5000219209981196,0.028328497841076716
2026-05-11 17-31-00.wav,music,48000,432000,0.1,20,0.030277944900820954,2.8455175591531527,-0.47641053573420944,4.321928094887363,-0.475698866457246,0.0007116692769634225
2026-05-11 17-14-19.wav,noise,48000,432000,0.1,20,6.947861687972802e-06,0.9916138855849675,-2.3303142093023945,4.321928094887363,-6.52040418227752,-4.190089972975126
2026-05-11 17-14-36.wav,noise,48000,432000,0.1,20,7.033766784125519e-06,0.9914527721126739,-2.330475322774688,4.321928094887363,-6.511539949043015,-4.181064626268327
2026-05-11 17-14-53.wav,noise,48000,432000,0.1,20,6.898330463558524e-06,0.9902327080225648,-2.3316953868647974,4.321928094887363,-6.525565078201998,-4.1938696913372
2026-05-11 17-15-08.wav,noise,48000,432000,0.1,20,6.835326287860868e-06,0.9905896546714308,-2.3313384402159314,4.321928094887363,-6.532183595844255,-4.200845155628324
2026-05-11 17-15-22.wav,noise,48000,432000,0.1,20,6.992243966520284e-06,0.9908676832078731,-2.331060411679489,4.321928094887363,-6.515810938072731,-4.184750526393241
2026-05-11 17-15-35.wav,noise,48000,432000,0.1,20,6.7104003231075645e-06,0.9893558998474763,-2.332572195039886,4.321928094887363,-6.545489281474798,-4.212917086434912
2026-05-11 17-15-48.wav,noise,48000,432000,0.1,20,6.815763926547787e-06,0.9914104253267149,-2.3305176695606473,4.321928094887363,-6.534251016140371,-4.203733346579724
2026-05-11 17-16-10.wav,noise,48000,432000,0.1,20,7.02759898453184e-06,0.9921621527153931,-2.329765942171969,4.321928094887363,-6.5121727648451255,-4.1824068226731566
2026-05-11 17-16-23.wav,noise,48000,432000,0.1,20,7.478382918954829e-06,0.9945011242099245,-2.3274269706774375,4.321928094887363,-6.467325527460988,-4.139898556783551
2026-05-11 17-16-35.wav,noise,48000,432000,0.1,20,7.2006705260779e-06,0.9928126020383503,-2.329115492849012,4.321928094887363,-6.494623071231366,-4.165507578382354
